year,country,co2,yr_avg_temp_f,yr_avg_temp_c,yr_avg_temp_uncertainty
1801,POLAND,121,47.22005000000001,8.455583333333335,2.5604166666666663
1801,UNITED KINGDOM,7290,47.61259999999999,8.673666666666668,2.379083333333333
1802,BELGIUM,1746,48.8468,9.359333333333334,2.679583333333333
1802,FRANCE,611,55.61435,13.119083333333334,2.5788333333333333
1802,GERMANY,151,46.868,8.26,2.783166666666667
1802,POLAND,123,46.5854,8.103000000000002,2.8178333333333327
1802,UNITED KINGDOM,7328,47.09495,8.386083333333334,2.542666666666667
1803,GERMANY,146,45.23765,7.35425,3.0145
1803,POLAND,126,43.6421,6.467833333333332,3.0405
1803,UNITED KINGDOM,8240,46.54805,8.08225,2.76825
1804,FRANCE,594,55.56679999999999,13.092666666666664,3.18025
1804,GERMANY,275,46.10945,7.838583333333332,3.502
1804,POLAND,125,44.32625,6.847916666666666,3.427
1804,UNITED KINGDOM,8278,47.22185000000001,8.456583333333333,3.369666666666667
1805,GERMANY,284,43.6541,6.4745,2.6419166666666665
1805,POLAND,156,42.59840000000001,5.888000000000001,2.50675
1805,UNITED KINGDOM,8587,46.37765,7.987583333333336,2.574583333333333
1806,GERMANY,256,48.01669999999999,8.898166666666668,2.49325
1806,POLAND,142,46.8935,8.274166666666666,2.6261666666666668
1806,UNITED KINGDOM,9075,47.54705000000001,8.63725,2.531916666666667
1807,AUSTRIA,46,44.1893,6.7718333333333325,2.8074166666666667
1807,GERMANY,734,47.29415000000001,8.49675,2.8672500000000003
1807,POLAND,103,46.7312,8.184,2.8080833333333337
1807,UNITED KINGDOM,9077,46.20755000000001,7.893083333333332,2.7805000000000004
1808,GERMANY,245,45.16864999999999,7.315916666666666,2.8470833333333334
1808,POLAND,137,44.18525,6.769583333333332,2.8813333333333326
1808,UNITED KINGDOM,9080,46.33535000000001,7.964083333333334,2.780333333333333
1809,GERMANY,254,46.13899999999999,7.854999999999999,3.6964166666666673
1809,POLAND,129,44.65415,7.030083333333334,3.7123333333333335
1809,UNITED KINGDOM,9083,46.1636,7.868666666666668,3.472083333333334
1810,FRANCE,579,53.65865,12.032583333333335,3.64475
1810,GERMANY,267,45.9419,7.7455,3.9998333333333336
1810,POLAND,155,44.638999999999996,7.0216666666666665,3.96875
1810,UNITED KINGDOM,9086,45.99275,7.7737500000000015,3.78975
1811,CANADA,1,23.5346,-4.703,2.7422
1811,FRANCE,560,55.3127,12.951499999999998,3.6906666666666665
1811,GERMANY,253,48.4589,9.143833333333333,4.024
1811,POLAND,161,47.09675000000001,8.387083333333333,3.9545000000000012
1811,UNITED KINGDOM,9706,47.63915,8.688416666666667,3.824583333333333
1811,UNITED STATES,122,46.478120000000004,8.0434,3.0412
1812,CANADA,1,19.326050000000006,-7.04108333333333,3.0067500000000003
1812,FRANCE,605,52.80545,11.558583333333335,2.9353333333333333
1812,GERMANY,249,44.17325,6.7629166666666665,3.093583333333333
1812,POLAND,124,42.7361,5.964500000000001,3.111166666666667
1812,UNITED KINGDOM,10081,45.47029999999999,7.4834999999999985,2.9323333333333337
1812,UNITED STATES,132,44.62280000000001,7.012666666666665,2.673166666666667
1813,CANADA,1,25.8882,-3.3954444444444425,2.991
1813,FRANCE,559,53.80295,12.11275,3.202166666666667
1813,GERMANY,243,45.82909999999999,7.682833333333334,3.3562500000000006
1813,POLAND,104,44.80265,7.112583333333332,3.4008333333333343
1813,UNITED KINGDOM,10201,46.71035,8.172416666666667,3.1710833333333333
1813,UNITED STATES,142,49.854000000000006,9.918888888888887,2.8855555555555554
1814,CANADA,1,14.319200000000002,-9.822666666666663,3.0413333333333337
1814,FRANCE,571,52.93085,11.62825,3.3076666666666665
1814,GERMANY,241,44.258,6.81,3.5322499999999994
1814,POLAND,137,43.1291,6.182833333333334,3.54775
1814,UNITED KINGDOM,10395,44.951,7.195,3.344666666666667
1814,UNITED STATES,153,38.8118,3.7843333333333335,3.639
1815,CANADA,1,20.4629,-6.409499999999999,2.867916666666668
1815,FRANCE,639,54.08195,12.26775,3.2335
1815,GERMANY,281,45.73745,7.631916666666666,3.3560000000000003
1815,POLAND,161,43.80245,6.556916666666668,3.4062500000000004
1815,UNITED KINGDOM,10623,46.33265,7.962583333333334,3.4398333333333335
1815,UNITED STATES,164,45.5024,7.501333333333335,2.696333333333333
1816,CANADA,1,12.247475,-10.973625,2.972625
1816,FRANCE,682,52.31825,11.287916666666666,3.36975
1816,GERMANY,651,44.1758,6.764333333333332,3.5885
1816,POLAND,185,43.8641,6.591166666666667,3.5990833333333327
1816,UNITED KINGDOM,11309,44.67245000000001,7.04025,3.4954166666666664
1816,UNITED STATES,181,39.913925,4.396625,3.1088750000000003
1817,CANADA,1,20.0666,-6.629666666666667,2.7336666666666667
1817,FRANCE,726,54.1616,12.312000000000001,2.703333333333333
1817,GERMANY,923,46.30835,7.949083333333332,3.0083333333333333
1817,POLAND,203,45.44615000000001,7.470083333333335,3.05025
1817,UNITED KINGDOM,11442,46.18609999999999,7.881166666666667,2.9897499999999995
1817,UNITED STATES,196,45.01385000000001,7.229916666666668,2.6125000000000003
1818,CANADA,1,17.612420000000004,-7.993100000000001,2.712
1818,FRANCE,650,55.24984999999999,12.916583333333335,3.4579166666666667
1818,GERMANY,964,46.9055,8.280833333333332,3.7892500000000013
1818,POLAND,252,45.56465,7.535916666666665,3.699583333333333
1818,UNITED KINGDOM,11469,47.7395,8.744166666666667,3.5235833333333333
1818,UNITED STATES,213,43.29446,6.2747,2.8672
1819,AUSTRIA,69,43.6865,6.4925,2.59025
1819,CANADA,1,-8.708800000000004,-22.616,3.1756666666666664
1819,FRANCE,698,54.82265000000001,12.67925,2.588916666666667
